0,196,207,489,125,0,-175,125,0,-200,125,25,-200,0.1601,0.577812,0.262089,-0.769054,-0.549278,-0.32688,633.794,369.551,20.6386,596.515
2,432,433,444,0,50,-200,25,50,-200,25,50,-225,0.379028,0.0305945,0.590377,-0.841438,-0.435344,-0.320091,633.794,369.551,20.6386,711.271
3,379,378,367,50,50,-75,25,50,-75,25,50,-50,0.449895,0.28739,0.262715,-0.86058,-0.49385,-0.124556,633.794,369.551,20.6386,706.513
4,436,435,424,100,50,-200,75,50,-200,75,50,-175,0.573145,0.0495398,0.377316,-0.817687,-0.480766,-0.316625,633.794,369.551,20.6386,655.14
5,327,316,478,125,50,50,125,50,75,125,25,75,0.591383,0.208879,0.199738,-0.800393,-0.597486,0.0487973,633.794,369.551,20.6386,693.657
6,379,380,391,50,50,-75,75,50,-75,75,50,-100,0.00862792,0.70564,0.285732,-0.84753,-0.509152,-0.149859,633.794,369.551,20.6386,672.588
7,322,323,334,0,50,50,25,50,50,25,50,25,0.676694,0.163357,0.159949,-0.853345,-0.520776,0.0243856,633.794,369.551,20.6386,795.18
8,344,345,356,0,50,-0,25,50,-0,25,50,-25,0.542178,0.229996,0.227826,-0.863363,-0.503019,-0.0396986,633.794,369.551,20.6386,759.055
10,488,489,437,125,25,-175,125,25,-200,125,50,-200,0.42676,0.315705,0.257535,-0.787538,-0.523879,-0.324555,633.794,369.551,20.6386,616.655
12,399,400,411,0,50,-125,25,50,-125,25,50,-150,0.291228,0.529285,0.179487,-0.863404,-0.460974,-0.205026,633.794,369.551,20.6386,715.342
13,355,356,367,0,50,-25,25,50,-25,25,50,-50,0.511589,0.0359231,0.452487,-0.866755,-0.492592,-0.0780318,633.794,369.551,20.6386,747.625
14,31,42,474,125,0,200,125,0,175,125,25,175,0.210416,0.577243,0.212341,-0.730037,-0.656329,0.19047,633.794,369.551,20.6386,714.346
16,347,346,335,75,50,-0,50,50,-0,50,50,25,0.214478,0.731077,0.054445,-0.847965,-0.529094,-0.0318587,633.794,369.551,20.6386,724.846
