0,446,447,458,75,50,-225,100,50,-225,100,50,-250,0.818341,0.146698,0.0349609,-0.730109,-0.666071,-0.152608,540.516,470.288,-129.169,625.25
2,485,484,152,125,25,-100,125,25,-75,125,0,-75,0.701888,0.144743,0.153369,-0.669944,-0.740273,0.0563122,540.516,470.288,-129.169,623.146
4,374,375,386,-75,50,-75,-50,50,-75,-50,50,-100,0.124084,0.365417,0.510499,-0.806026,-0.588767,0.0606299,540.516,470.288,-129.169,728.108
5,304,305,316,100,50,100,125,50,100,125,50,75,0.562434,0.215426,0.22214,-0.643015,-0.689394,0.333567,540.516,470.288,-129.169,682.506
7,335,334,323,50,50,25,25,50,25,25,50,50,0.571841,0.0226349,0.405524,-0.721245,-0.650257,0.238688,540.516,470.288,-129.169,705.064
8,387,388,399,-25,50,-100,0,50,-100,0,50,-125,0.460593,0.173265,0.366141,-0.78859,-0.614013,0.0333808,540.516,470.288,-129.169,704.252
11,282,283,294,100,50,150,125,50,150,125,50,125,0.781626,0.00135559,0.217018,-0.62633,-0.674206,0.391353,540.516,470.288,-129.169,705.576
17,282,283,294,100,50,150,125,50,150,125,50,125,0.921783,0.00529236,0.0729242,-0.627797,-0.67106,0.394397,540.516,470.288,-129.169,710.264
20,298,297,286,-50,50,100,-75,50,100,-75,50,125,0.275107,0.651581,0.0733118,-0.761402,-0.57988,0.289838,540.516,470.288,-129.169,841.669
21,330,331,342,-75,50,25,-50,50,25,-50,50,-0,0.613916,0.340824,0.04526,-0.785329,-0.58553,0.20103,540.516,470.288,-129.169,781.861
22,252,253,264,-100,50,200,-75,50,200,-75,50,175,0.117422,0.864014,0.0185638,-0.729689,-0.565048,0.385064,540.516,470.288,-129.169,868.979
23,324,325,336,50,50,50,75,50,50,75,50,25,0.36198,0.419554,0.218466,-0.698765,-0.667176,0.258077,540.516,470.288,-129.169,682.039
26,364,365,376,-50,50,-50,-25,50,-50,-25,50,-75,0.396116,0.17705,0.426834,-0.792847,-0.601408,0.0984968,540.516,470.288,-129.169,737.572
27,327,326,315,125,50,50,100,50,50,100,50,75,0.69601,0.0207971,0.283193,-0.652836,-0.700685,0.287829,540.516,470.288,-129.169,640.604
32,254,253,234,-50,50,200,-75,50,200,-75,50,225,0.657219,0.254913,0.087868,-0.717588,-0.573964,0.394503,540.516,470.288,-129.169,859.036
34,363,364,375,-75,50,-50,-50,50,-50,-50,50,-75,0.205911,0.268666,0.525424,-0.803048,-0.588605,0.0930499,540.516,470.288,-129.169,759.194
35,310,311,322,-25,50,75,0,50,75,0,50,50,0.0425025,0.172116,0.785381,-0.739857,-0.62291,0.254156,540.516,470.288,-129.169,744.725
